2019-08-31,12969,26048,27252,16615,16362
2019-09-30,11706,22875,24794,14811,15147
2019-10-31,13238,26907,28962,16883,19469
2019-11-30,11388,22926,24218,14688,14622
2019-12-31,12969,31387,31570,16801,17340
2020-01-31,14228,27172,30207,19078,18647
2020-02-29,16478,27799,29739,21545,19609
2020-03-31,11417,31925,33690,17391,18655
2020-04-30,12401,35113,39426,19496,21491
2020-05-31,12920,39032,42122,19934,21475
2020-06-30,12739,37466,40083,18798,20689
2020-07-31,16229,46703,49724,23129,23440
2020-08-31,14213,41538,44410,22170,24116
2020-09-30,12275,36475,39236,19286,21926
2020-10-31,14188,42416,47706,22015,28723
2020-11-30,13397,38003,42168,19005,21743
2020-12-31,15763,50443,51435,22664,26656
2021-01-31,16875,45592,51099,23830,27084
2021-02-28,15863,42624,46716,23610,25034
